Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction
35,971,3,4,5,4,2,3,3,2,5,3,3,3,1,3,373,358.0,0,1,1,0,0,1,0,neutral or dissatisfied
32,1092,0,0,0,3,1,0,1,1,3,1,1,1,2,1,0,0.0,0,1,1,0,0,1,0,satisfied
46,2915,0,5,0,5,3,4,5,1,1,1,1,4,1,3,0,0.0,1,0,1,0,1,0,0,satisfied
56,2556,4,4,4,4,4,4,4,3,3,5,4,4,3,4,19,18.0,0,1,1,0,1,0,0,satisfied
54,468,1,4,1,4,4,1,4,4,4,5,5,3,4,4,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
17,1754,1,3,1,2,4,1,4,4,4,3,2,1,3,4,64,85.0,0,1,0,1,0,1,0,neutral or dissatisfied
21,770,1,4,1,2,4,1,4,4,4,4,4,5,5,4,6,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
22,752,3,3,3,1,1,3,1,1,2,5,1,4,2,1,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
33,200,2,4,4,4,2,2,2,2,2,4,4,4,3,2,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
9,948,1,1,2,3,1,2,1,1,2,1,4,3,3,1,1,0.0,1,0,0,1,0,1,0,neutral or dissatisfied
42,1812,5,5,5,5,2,5,5,4,4,4,4,3,4,4,0,1.0,1,0,1,0,1,0,0,satisfied
29,1306,3,3,3,3,5,3,5,5,3,2,4,5,4,5,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
37,3409,3,2,3,3,3,5,5,4,4,4,4,5,4,4,3,0.0,1,0,1,0,1,0,0,satisfied
28,950,3,3,3,3,5,3,5,5,5,1,2,5,5,5,0,0.0,1,0,1,0,0,1,0,neutral or dissatisfied
18,2057,2,2,3,2,4,4,4,4,2,5,1,4,3,4,0,0.0,1,0,1,0,1,0,0,satisfied
38,456,3,3,3,4,4,3,4,4,1,4,3,1,4,4,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
23,430,1,2,2,2,1,1,2,1,3,5,3,3,4,1,0,39.0,1,0,1,0,0,0,1,neutral or dissatisfied
53,758,5,5,5,5,4,5,5,4,4,4,4,4,4,5,0,0.0,1,0,1,0,1,0,0,satisfied
32,1566,3,3,1,3,3,3,3,3,5,3,4,4,4,3,0,0.0,1,0,1,0,1,0,0,satisfied
59,3337,2,2,4,2,2,5,5,4,4,4,5,4,4,4,18,17.0,1,0,1,0,1,0,0,satisfied
59,1379,1,4,1,1,3,1,3,3,4,4,5,4,4,3,0,0.0,0,1,0,1,0,1,0,neutral or dissatisfied
33,1921,1,5,5,5,1,1,1,1,1,1,4,1,3,1,0,0.0,0,1,1,0,1,0,0,neutral or dissatisfied
63,182,5,5,5,5,5,5,5,5,4,2,3,3,4,5,7,2.0,0,1,1,0,0,1,0,satisfied
57,2454,1,1,1,1,5,5,1,3,3,4,3,5,3,5,25,10.0,0,1,1,0,1,0,0,satisfied
49,852,2,3,3,3,3,2,3,3,2,3,1,2,1,3,0,0.0,0,1,1,0,0,1,0,satisfied
13,383,1,4,1,5,1,1,1,1,4,3,4,5,4,1,25,18.0,1,0,0,1,0,1,0,neutral or dissatisfied
25,669,0,0,0,5,1,0,1,1,5,2,5,1,5,1,0,0.0,1,0,1,0,0,0,1,satisfied
64,213,2,5,2,1,5,5,5,4,4,2,4,4,4,5,58,28.0,1,0,0,1,0,1,0,neutral or dissatisfied
59,2227,5,5,5,5,5,4,4,4,4,4,4,3,4,5,79,43.0,1,0,1,0,1,0,0,satisfied
49,1873,4,4,4,4,3,4,4,5,5,5,5,5,5,3,8,6.0,1,0,1,0,1,0,0,satisfied
26,862,1,1,1,1,1,3,3,1,5,3,1,3,5,3,146,135.0,0,1,1,0,0,1,0,neutral or dissatisfied
61,253,4,3,3,3,4,4,4,4,4,5,1,1,3,4,0,0.0,0,1,1,0,0,0,1,satisfied
43,358,2,5,1,1,5,1,5,5,1,4,2,4,5,5,0,45.0,1,0,1,0,0,1,0,neutral or dissatisfied
57,301,4,4,4,4,2,4,5,4,4,4,4,3,4,5,0,0.0,0,1,1,0,1,0,0,satisfied
27,1171,3,3,3,4,3,3,3,3,1,1,4,3,3,3,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
25,980,4,1,4,4,3,4,2,3,1,3,4,4,3,3,0,6.0,0,1,0,1,0,0,1,neutral or dissatisfied
39,1706,1,1,1,1,2,3,5,5,5,5,5,4,5,3,2,1.0,0,1,1,0,1,0,0,satisfied
45,447,1,1,4,1,5,2,4,2,2,2,2,2,2,5,0,0.0,1,0,1,0,1,0,0,satisfied
16,1005,1,1,1,1,1,1,1,1,4,1,4,2,3,1,0,10.0,0,1,1,0,0,1,0,neutral or dissatisfied
49,3319,1,1,1,1,5,5,4,5,5,5,5,3,5,4,0,0.0,1,0,1,0,1,0,0,satisfied
36,2342,5,3,3,3,5,5,5,4,2,3,2,5,3,5,9,20.0,1,0,1,0,0,1,0,satisfied
32,1121,4,3,3,3,4,4,4,4,3,3,5,1,3,4,10,14.0,1,0,1,0,0,1,0,satisfied
54,187,5,5,5,5,2,5,5,5,5,5,5,5,5,4,0,0.0,0,1,1,0,1,0,0,satisfied
57,3426,1,1,1,1,5,5,5,2,2,3,2,4,2,4,0,0.0,1,0,1,0,1,0,0,satisfied
32,3005,3,3,3,3,4,5,4,4,2,5,4,1,1,4,108,91.0,0,1,1,0,1,0,0,satisfied
18,317,4,2,4,3,3,4,3,3,2,2,3,1,3,3,68,85.0,1,0,0,1,0,0,1,neutral or dissatisfied
57,2818,1,1,5,1,5,5,4,4,4,5,4,4,4,5,6,0.0,0,1,1,0,1,0,0,satisfied
58,967,2,5,5,5,3,3,3,2,2,2,2,2,2,4,47,47.0,0,1,1,0,1,0,0,neutral or dissatisfied
29,541,4,4,4,4,5,4,2,5,3,3,4,4,4,5,14,31.0,0,1,1,0,0,1,0,neutral or dissatisfied
27,86,5,0,5,4,2,0,2,2,1,4,3,3,4,2,0,3.0,0,1,1,0,0,1,0,satisfied
35,151,2,2,5,5,2,2,2,2,1,1,3,3,4,2,0,0.0,0,1,1,0,0,1,0,neutral or dissatisfied
22,1174,2,4,2,5,4,2,4,4,4,2,3,3,4,4,0,7.0,0,1,0,1,0,1,0,neutral or dissatisfied
57,1012,1,0,0,4,3,0,3,3,1,3,3,1,3,3,0,3.0,1,0,1,0,0,1,0,neutral or dissatisfied
57,1784,4,3,3,3,2,3,2,4,4,4,4,3,4,1,0,0.0,1,0,1,0,1,0,0,neutral or dissatisfied
7,140,3,3,0,3,3,0,3,3,2,4,3,1,2,3,45,46.0,0,1,0,1,0,1,0,neutral or dissatisfied
28,779,3,3,3,3,2,3,2,2,3,4,2,4,3,2,63,62.0,1,0,1,0,0,1,0,neutral or dissatisfied
50,458,3,4,3,1,2,1,1,1,1,3,4,3,1,4,32,33.0,1,0,0,1,0,1,0,neutral or dissatisfied
21,469,4,0,4,5,1,4,1,1,3,2,4,5,5,1,0,0.0,0,1,1,0,0,1,0,satisfied
43,1044,4,4,4,5,4,4,4,4,3,4,4,3,5,4,19,3.0,0,1,1,0,1,0,0,satisfied
41,944,3,5,3,5,1,3,1,1,4,5,3,1,1,1,85,80.0,0,1,0,1,0,1,0,neutral or dissatisfied
